Number,Handedness,CircumferenceLeftHand,CircumferenceRightHand,LengthLeftHand,LengthRightHand,SpanLeftHand,SpanRightHand,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16
1,right,205,214,198,200,203,204,5,5,5,6,5,5,6,6,5,6,6,6,6,6,6,6,1,2,2,2,3,3,3,3,4,4,3,3,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,8,8,9,7,8,8,9,7,7,9,9,7,7,8,10
2,right,186,184,175,175,207,207,5,5,5,6,5,5,6,6,5,5,6,6,5,6,6,6,1,2,2,3,3,3,3,2,4,4,3,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,8,8,8,7,8,8,9,7,8,8,6,8,8,8,10
3,right,179,180,183,184,202,201,5,5,5,6,5,5,6,6,5,6,6,6,5,6,6,6,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,8,7,7,8,8,7,7,7,8,8,8,8,8
4,right,195,199,187,190,200,204,5,5,4,6,5,5,6,6,5,6,6,6,6,6,6,6,2,3,2,2,3,3,3,3,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,8,8,7,7,8,8,7,7,8,8,7,7,8,9
5,right,200,207,182,183,221,226,5,5,5,5,5,5,6,6,5,5,6,6,5,6,6,6,2,2,2,3,3,3,3,3,5,4,3,4,4,4,4,4,6,6,6,6,5,5,6,6,6,5,6,6,5,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,8,9,7,7,8,9,7,7,8,9,7,8,8,9
6,right,190,192,179,177,214,211,5,5,5,5,5,5,6,6,5,5,6,6,6,6,6,6,2,2,3,3,3,3,3,3,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,8,8,9,7,8,8,9,7,7,9,9,7,8,9,10
7,left,182,179,173,173,187,200,5,5,6,7,5,5,6,7,5,6,6,6,5,6,6,6,1,2,1,2,3,3,3,3,3,3,3,3,3,4,3,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,9,10,7,7,9,9,7,7,9,10,7,8,10,10
8,left,194,194,180,180,198,198,5,5,5,6,5,5,6,6,5,6,6,6,6,6,6,6,1,1,2,3,3,3,2,3,4,3,4,4,4,4,4,4,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,5,5,5,5,5,5,4,5,6,5,5,5,6,6,5,6,7,8,8,9,7,7,8,9,7,7,8,9,7,7,8,9
9,right,204,210,192,184,218,215,5,3,6,4,5,5,6,6,5,6,6,6,6,6,6,6,2,1,2,2,2,2,2,2,3,3,3,3,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,8,8,8,7,8,8,9,7,8,9,9,7,8,10,10
10,right,198,196,198,198,213,205,5,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,2,2,2,2,2,3,3,2,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,8,9,7,8,8,9,7,7,9,9,7,7,9,9
11,right,172,172,167,170,189,185,5,5,5,4,5,5,6,6,5,5,6,6,6,6,6,6,1,3,2,3,2,2,4,3,4,4,4,4,4,4,4,4,5,6,6,6,6,6,6,6,6,5,9,10,6,6,9,10,1,3,3,4,1,3,5,5,1,1,5,5,1,5,5,5,7,3,8,8,7,7,8,9,7,7,8,9,7,7,10,10
12,right,180,183,174,176,207,201,5,5,5,5,5,7,6,6,5,5,6,6,6,6,6,6,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,5,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,8,7,7,7,7,7,7,7,7
13,right,173,176,164,162,187,185,5,5,5,6,5,5,6,6,5,5,6,6,6,6,6,6,2,2,3,3,4,3,3,3,5,4,4,4,4,4,4,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,8,8,7,7,8,9,7,7,8,8,7,7,8,9
14,right,186,187,175,174,183,185,5,5,6,5,5,5,6,6,5,5,6,6,6,6,6,6,5,2,4,4,4,4,4,3,3,3,3,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,10,9,6,6,4,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,7,7,8,8,6,7,8,9,7,8,7,8,6,7,8,10
15,right,200,201,179,178,180,178,5,5,5,4,5,5,6,6,5,5,6,6,5,6,6,6,1,3,2,2,3,4,3,3,3,4,3,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,8,8,9,7,8,9,8,7,8,8,9,7,6,8,10
16,right,211,211,195,197,224,218,5,5,5,7,5,5,6,6,5,5,6,6,6,6,6,6,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,8,9,7,7,8,8,7,7,7,8,7,7,8,8
17,right,182,182,176,181,207,203,5,5,5,6,5,5,6,6,5,6,6,6,6,6,6,6,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,6,7,7,8,8,7,7,8,9,7,7,9,9,7,8,7,9
18,right,200,204,204,200,241,243,5,5,5,7,5,5,6,6,5,6,6,6,6,6,6,6,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,8,9,10,7,8,9,10,7,8,9,10,7,8,9,10
19,right,179,180,176,177,202,197,4,4,4,8,4,4,7,7,5,6,7,7,4,6,6,5,1,1,2,2,3,2,3,3,3,4,3,3,4,4,3,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,4,5,5,3,5,5,5,5,5,5,5,5,5,7,8,8,9,7,8,9,10,7,8,9,10,7,6,7,10
20,right,183,188,173,173,213,198,5,5,5,6,5,5,6,6,5,5,6,6,5,6,6,6,3,1,2,2,2,3,3,3,5,3,3,3,5,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,8,8,9,7,8,8,9,7,7,9,9,7,8,6,6
21,right,224,223,201,199,231,231,5,5,5,5,5,5,5,6,5,5,6,6,5,6,6,6,1,1,1,1,2,2,2,2,3,3,3,3,5,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,8,9,10,7,8,9,10,7,8,9,10,7,8,9,10
22,right,191,193,165,166,200,196,5,5,5,7,5,5,5,6,5,5,6,6,6,6,6,6,2,2,2,2,4,3,3,3,3,5,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,8,8,9,7,7,8,9,7,8,8,9,7,8,8,9