Number,Handedness,CircumferenceLeftHand,CircumferenceRightHand,LengthLeftHand,LengthRightHand,SpanLeftHand,SpanRightHand,LT-R1,LT-R2,LT-R3,LT-R4,LT-R5,LT-R6,LT-R7,LT-R8,LT-R9,LT-R10,LT-R11,LT-R12,LT-R13,LT-R14,LT-R15,LT-R16,LT-B1,LT-B2,LT-B3,LT-B4,LT-B5,LT-B6,LT-B7,LT-B8,LT-B9,LT-B10,LT-B11,LT-B12,LT-B13,LT-B14,LT-B15,LT-B16,LT-G1,LT-G2,LT-G3,LT-G4,LT-G5,LT-G6,LT-G7,LT-G8,LT-G9,LT-G10,LT-G11,LT-G12,LT-G13,LT-G14,LT-G15,LT-G16,LT-W1,LT-W2,LT-W3,LT-W4,LT-W5,LT-W6,LT-W7,LT-W8,LT-W9,LT-W10,LT-W11,LT-W12,LT-W13,LT-W14,LT-W15,LT-W16,LT-Y1,LT-Y2,LT-Y3,LT-Y4,LT-Y5,LT-Y6,LT-Y7,LT-Y8,LT-Y9,LT-Y10,LT-Y11,LT-Y12,LT-Y13,LT-Y14,LT-Y15,LT-Y16,LI-R1,LI-R2,LI-R3,LI-R4,LI-R5,LI-R6,LI-R7,LI-R8,LI-R9,LI-R10,LI-R11,LI-R12,LI-R13,LI-R14,LI-R15,LI-R16,LI-B1,LI-B2,LI-B3,LI-B4,LI-B5,LI-B6,LI-B7,LI-B8,LI-B9,LI-B10,LI-B11,LI-B12,LI-B13,LI-B14,LI-B15,LI-B16,LI-G1,LI-G2,LI-G3,LI-G4,LI-G5,LI-G6,LI-G7,LI-G8,LI-G9,LI-G10,LI-G11,LI-G12,LI-G13,LI-G14,LI-G15,LI-G16,LI-W1,LI-W2,LI-W3,LI-W4,LI-W5,LI-W6,LI-W7,LI-W8,LI-W9,LI-W10,LI-W11,LI-W12,LI-W13,LI-W14,LI-W15,LI-W16,LI-Y1,LI-Y2,LI-Y3,LI-Y4,LI-Y5,LI-Y6,LI-Y7,LI-Y8,LI-Y9,LI-Y10,LI-Y11,LI-Y12,LI-Y13,LI-Y14,LI-Y15,LI-Y16,LM-R1,LM-R2,LM-R3,LM-R4,LM-R5,LM-R6,LM-R7,LM-R8,LM-R9,LM-R10,LM-R11,LM-R12,LM-R13,LM-R14,LM-R15,LM-R16,LM-B1,LM-B2,LM-B3,LM-B4,LM-B5,LM-B6,LM-B7,LM-B8,LM-B9,LM-B10,LM-B11,LM-B12,LM-B13,LM-B14,LM-B15,LM-B16,LM-G1,LM-G2,LM-G3,LM-G4,LM-G5,LM-G6,LM-G7,LM-G8,LM-G9,LM-G10,LM-G11,LM-G12,LM-G13,LM-G14,LM-G15,LM-G16,LM-W1,LM-W2,LM-W3,LM-W4,LM-W5,LM-W6,LM-W7,LM-W8,LM-W9,LM-W10,LM-W11,LM-W12,LM-W13,LM-W14,LM-W15,LM-W16,LM-Y1,LM-Y2,LM-Y3,LM-Y4,LM-Y5,LM-Y6,LM-Y7,LM-Y8,LM-Y9,LM-Y10,LM-Y11,LM-Y12,LM-Y13,LM-Y14,LM-Y15,LM-Y16,LR-R1,LR-R2,LR-R3,LR-R4,LR-R5,LR-R6,LR-R7,LR-R8,LR-R9,LR-R10,LR-R11,LR-R12,LR-R13,LR-R14,LR-R15,LR-R16,LR-B1,LR-B2,LR-B3,LR-B4,LR-B5,LR-B6,LR-B7,LR-B8,LR-B9,LR-B10,LR-B11,LR-B12,LR-B13,LR-B14,LR-B15,LR-B16,LR-G1,LR-G2,LR-G3,LR-G4,LR-G5,LR-G6,LR-G7,LR-G8,LR-G9,LR-G10,LR-G11,LR-G12,LR-G13,LR-G14,LR-G15,LR-G16,LR-W1,LR-W2,LR-W3,LR-W4,LR-W5,LR-W6,LR-W7,LR-W8,LR-W9,LR-W10,LR-W11,LR-W12,LR-W13,LR-W14,LR-W15,LR-W16,LR-Y1,LR-Y2,LR-Y3,LR-Y4,LR-Y5,LR-Y6,LR-Y7,LR-Y8,LR-Y9,LR-Y10,LR-Y11,LR-Y12,LR-Y13,LR-Y14,LR-Y15,LR-Y16,LL-R1,LL-R2,LL-R3,LL-R4,LL-R5,LL-R6,LL-R7,LL-R8,LL-R9,LL-R10,LL-R11,LL-R12,LL-R13,LL-R14,LL-R15,LL-R16,LL-B1,LL-B2,LL-B3,LL-B4,LL-B5,LL-B6,LL-B7,LL-B8,LL-B9,LL-B10,LL-B11,LL-B12,LL-B13,LL-B14,LL-B15,LL-B16,LL-G1,LL-G2,LL-G3,LL-G4,LL-G5,LL-G6,LL-G7,LL-G8,LL-G9,LL-G10,LL-G11,LL-G12,LL-G13,LL-G14,LL-G15,LL-G16,LL-W1,LL-W2,LL-W3,LL-W4,LL-W5,LL-W6,LL-W7,LL-W8,LL-W9,LL-W10,LL-W11,LL-W12,LL-W13,LL-W14,LL-W15,LL-W16,LL-Y1,LL-Y2,LL-Y3,LL-Y4,LL-Y5,LL-Y6,LL-Y7,LL-Y8,LL-Y9,LL-Y10,LL-Y11,LL-Y12,LL-Y13,LL-Y14,LL-Y15,LL-Y16,RT-R1,RT-R2,RT-R3,RT-R4,RT-R5,RT-R6,RT-R7,RT-R8,RT-R9,RT-R10,RT-R11,RT-R12,RT-R13,RT-R14,RT-R15,RT-R16,RT-B1,RT-B2,RT-B3,RT-B4,RT-B5,RT-B6,RT-B7,RT-B8,RT-B9,RT-B10,RT-B11,RT-B12,RT-B13,RT-B14,RT-B15,RT-B16,RT-G1,RT-G2,RT-G3,RT-G4,RT-G5,RT-G6,RT-G7,RT-G8,RT-G9,RT-G10,RT-G11,RT-G12,RT-G13,RT-G14,RT-G15,RT-G16,RT-W1,RT-W2,RT-W3,RT-W4,RT-W5,RT-W6,RT-W7,RT-W8,RT-W9,RT-W10,RT-W11,RT-W12,RT-W13,RT-W14,RT-W15,RT-W16,RT-Y1,RT-Y2,RT-Y3,RT-Y4,RT-Y5,RT-Y6,RT-Y7,RT-Y8,RT-Y9,RT-Y10,RT-Y11,RT-Y12,RT-Y13,RT-Y14,RT-Y15,RT-Y16,RI-R1,RI-R2,RI-R3,RI-R4,RI-R5,RI-R6,RI-R7,RI-R8,RI-R9,RI-R10,RI-R11,RI-R12,RI-R13,RI-R14,RI-R15,RI-R16,RI-B1,RI-B2,RI-B3,RI-B4,RI-B5,RI-B6,RI-B7,RI-B8,RI-B9,RI-B10,RI-B11,RI-B12,RI-B13,RI-B14,RI-B15,RI-B16,RI-G1,RI-G2,RI-G3,RI-G4,RI-G5,RI-G6,RI-G7,RI-G8,RI-G9,RI-G10,RI-G11,RI-G12,RI-G13,RI-G14,RI-G15,RI-G16,RI-W1,RI-W2,RI-W3,RI-W4,RI-W5,RI-W6,RI-W7,RI-W8,RI-W9,RI-W10,RI-W11,RI-W12,RI-W13,RI-W14,RI-W15,RI-W16,RI-Y1,RI-Y2,RI-Y3,RI-Y4,RI-Y5,RI-Y6,RI-Y7,RI-Y8,RI-Y9,RI-Y10,RI-Y11,RI-Y12,RI-Y13,RI-Y14,RI-Y15,RI-Y16,RM-R1,RM-R2,RM-R3,RM-R4,RM-R5,RM-R6,RM-R7,RM-R8,RM-R9,RM-R10,RM-R11,RM-R12,RM-R13,RM-R14,RM-R15,RM-R16,RM-B1,RM-B2,RM-B3,RM-B4,RM-B5,RM-B6,RM-B7,RM-B8,RM-B9,RM-B10,RM-B11,RM-B12,RM-B13,RM-B14,RM-B15,RM-B16,RM-G1,RM-G2,RM-G3,RM-G4,RM-G5,RM-G6,RM-G7,RM-G8,RM-G9,RM-G10,RM-G11,RM-G12,RM-G13,RM-G14,RM-G15,RM-G16,RM-W1,RM-W2,RM-W3,RM-W4,RM-W5,RM-W6,RM-W7,RM-W8,RM-W9,RM-W10,RM-W11,RM-W12,RM-W13,RM-W14,RM-W15,RM-W16,RM-Y1,RM-Y2,RM-Y3,RM-Y4,RM-Y5,RM-Y6,RM-Y7,RM-Y8,RM-Y9,RM-Y10,RM-Y11,RM-Y12,RM-Y13,RM-Y14,RM-Y15,RM-Y16,RR-R1,RR-R2,RR-R3,RR-R4,RR-R5,RR-R6,RR-R7,RR-R8,RR-R9,RR-R10,RR-R11,RR-R12,RR-R13,RR-R14,RR-R15,RR-R16,RR-B1,RR-B2,RR-B3,RR-B4,RR-B5,RR-B6,RR-B7,RR-B8,RR-B9,RR-B10,RR-B11,RR-B12,RR-B13,RR-B14,RR-B15,RR-B16,RR-G1,RR-G2,RR-G3,RR-G4,RR-G5,RR-G6,RR-G7,RR-G8,RR-G9,RR-G10,RR-G11,RR-G12,RR-G13,RR-G14,RR-G15,RR-G16,RR-W1,RR-W2,RR-W3,RR-W4,RR-W5,RR-W6,RR-W7,RR-W8,RR-W9,RR-W10,RR-W11,RR-W12,RR-W13,RR-W14,RR-W15,RR-W16,RR-Y1,RR-Y2,RR-Y3,RR-Y4,RR-Y5,RR-Y6,RR-Y7,RR-Y8,RR-Y9,RR-Y10,RR-Y11,RR-Y12,RR-Y13,RR-Y14,RR-Y15,RR-Y16,RL-R1,RL-R2,RL-R3,RL-R4,RL-R5,RL-R6,RL-R7,RL-R8,RL-R9,RL-R10,RL-R11,RL-R12,RL-R13,RL-R14,RL-R15,RL-R16,RL-B1,RL-B2,RL-B3,RL-B4,RL-B5,RL-B6,RL-B7,RL-B8,RL-B9,RL-B10,RL-B11,RL-B12,RL-B13,RL-B14,RL-B15,RL-B16,RL-G1,RL-G2,RL-G3,RL-G4,RL-G5,RL-G6,RL-G7,RL-G8,RL-G9,RL-G10,RL-G11,RL-G12,RL-G13,RL-G14,RL-G15,RL-G16,RL-W1,RL-W2,RL-W3,RL-W4,RL-W5,RL-W6,RL-W7,RL-W8,RL-W9,RL-W10,RL-W11,RL-W12,RL-W13,RL-W14,RL-W15,RL-W16,RL-Y1,RL-Y2,RL-Y3,RL-Y4,RL-Y5,RL-Y6,RL-Y7,RL-Y8,RL-Y9,RL-Y10,RL-Y11,RL-Y12,RL-Y13,RL-Y14,RL-Y15,RL-Y16
1,right,205,214,198,200,203,204,2,2,2,1,2,2,2,1,2,2,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,1,0,2,2,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,0,2,2,2,0,1,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,1,0,2,2,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,right,186,184,175,175,207,207,2,2,1,1,2,2,0,0,2,2,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,1,1,1,2,2,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,2,0,2,2,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,0,2,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,2,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,2,1,0,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,2,2,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2
3,right,179,180,183,184,202,201,2,2,2,1,2,2,2,1,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,2,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,1,2,2,2,1,2,2,2,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,2,0,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,2,2,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,1,2,2,2,1,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1
